serial,lat,lon,adm_cd,lu
V02Q1940137,37.627319486,127.02715057,11305535,commercial
V02Q1940107,37.620774122,127.012353218,11305534,residential
V02Q1940340,37.625515396,127.027245038,11305535,commercial
V02Q1940253,37.65394832,127.0112059,11305645,mixed
V02Q1940949,37.630375704,127.022627851,11305535,commercial
V02Q1940746,37.632189703,127.021742016,11305615,residential
V02Q1940448,37.630759384,127.023550324,11305535,commercial
V02Q1940477,37.6620208,127.011085788,11305645,mixed
V02Q1940823,37.635011606,127.017942863,11305660,residential
V02Q1940763,37.626592071,127.034623328,11305603,residential
V02Q1940712,37.647922785,127.011898041,11305645,mixed
V02Q1940329,37.680506067,127.044592639,11320521,mixed
V02Q1940264,37.671181441,127.0451551,11320522,mixed
V02Q1940334,37.665639055,127.040068726,11320690,commercial
V02Q1940203,37.669322061,127.032315603,11320700,residential
V02Q1940338,37.660906226,127.023400235,11320710,residential
V02Q1940320,37.649767589,127.019891368,11320660,residential
V02Q1940205,37.659465824,127.037995194,11320670,mixed
V02Q1940342,37.648071356,127.029080112,11320680,mixed
V02Q1940324,37.651536117,127.030631818,11320681,mixed
V02Q1940323,37.649251734,127.046112438,11320511,mixed
V02Q1940265,37.639543,127.035005,11320512,residential
V02Q1940242,37.639440368,127.042584289,11320513,residential
V02Q1940404,37.65320724,127.052329425,11320514,mixed
V02Q1940091,37.656045003,127.043718917,11320515,commercial
V02Q1940331,37.650506581,127.033422705,11320680,mixed
V02Q1940345,37.649170939,127.035284494,11320511,mixed
V02Q1940303,37.689231812,127.046734855,11320522,mixed
V02Q1940846,37.637396377,127.039003681,11320513,residential
V02Q1940799,37.637816803,127.03827096,11320513,residential
V02Q1940135,37.690991222,127.042373479,11320521,mixed
V02Q1940390,37.654728776,127.047743044,11320514,mixed
V02Q1940325,37.68923847,127.041879527,11320521,mixed
V02Q1940665,37.64068341,127.035490388,11320512,residential
V02Q1940889,37.63994636,127.0360107,11320512,residential
V02Q1940783,37.639645297,127.038053156,11320512,residential
V02Q1940752,37.654166168,127.029228176,11320681,mixed
V02Q1940266,37.62510077,127.073488361,11350595,mixed
V02Q1940299,37.621127537,127.083295965,11350600,mixed
V02Q1940281,37.661361646,127.058403515,11350700,residential
V02Q1940275,37.682424032,127.05267806,11350630,residential
V02Q1940234,37.65777193,127.06774611,11350640,commercial
V02Q1940128,37.674109621,127.081840073,11350665,residential
V02Q1940146,37.662543053,127.069311242,11350670,mixed
V02Q1940216,37.651978806,127.064043899,11350695,commercial
V02Q1940075,37.667404076,127.053456508,11350700,residential
V02Q1940238,37.664753976,127.06336573,11350720,commercial
V02Q1940290,37.62054243,127.062463216,11350560,mixed
V02Q1940155,37.63240834,127.0508516,11350570,residential
